brewery_id;brewery_name;brewery_city;brewery_country;brewery_type
19730;Brouwerij Danny;Erpe-Mere;BE;Brewery
32541;Coachella Valley Brewing Co;Thousand Palms;US;Brewery, Bar, Beer-to-go
44736;Beef 'O' Brady's;Plant City;US;Bar, Eatery
23372;Broadway Wine Merchant;Oklahoma City;US;Store
35328;Brighton Beer Dispensary ;Brighton;GB;Bar, Eatery
31561;Teddy's Tavern;Seattle;US;Bar, Beer-to-go
35975;Modus Operandi Brewing Co.;Mona Vale;AU;Brewery, Bar, Eatery, Beer-to-go
5618;Hops! Beer Restaurant & Pizza;Riccione (RN);IT;Brewery, Bar, Eatery
30916;Kelly's Cellars;Belfast;GB;Bar
41278;The Other End;Destin;US;Bar, Eatery
31711;Ten Bells Tavern;Dallas;US;Bar, Eatery
12324;Bistro Europa / House Of Klaus;Alexandria;US;Bar
49850;Crafty's Beer Shop;Letchworth Garden City ;GB;Bar, Beer-to-go
16995;Le Bien, Le Malt;Rimouski;CA;Brewery, Bar, Eatery
45715;Angie's State Line Liquor Store;Enfield;US;Store
45617;Serafino;Thessaloniki;GR;Bar
28685;Brasserie De Puisaye (La Ferme Des Grenouillettes);Saint-Privé;FR;Brewery
47633;Redneck Gourmet;Newnan;US;Bar, Eatery
31986;Power Marketing / Wicked Pissa;Westport;US;Brewery
47464;Mahoney's Pub & Grille;Chicago;US;Bar, Eatery
8590;Wet Planet Beverage Co.;Utica;US;Brewery
8070;Gasthausbrauerei Zum Alfons;Schwanenstadt;AT;Brewery, Eatery
26695;Cervesera Tramuntana;Palma;ES;Brewery, Bar, Eatery
53919;Amity Ales Brewpub and Eatery;Amityville;US;Brewery, Bar, Eatery
17834;The Crêpe Place;Santa Cruz;US;Bar, Eatery
17675;McCray's Tavern;Smyrna;US;Bar, Eatery
28200;Express Stop;Bowling Green;US;Store
48475;Springdale Barrel Room;Framingham;US;Brewery, Bar
43654;Modist Brewing Co.;Minneapolis;US;Brewery, Bar, Beer-to-go
31006;Brasserie C;Liège;BE;Brewery, Bar, Eatery, Beer-to-go
1372;Shiko;St. Petersburg;RU;Brewery
48996;The Wandering Tortoise;Phoenix;US;Bar, Beer-to-go
26506;The Laser Wolf;Fort Lauderdale;US;Bar
18640;The Kitchen;Boulder;US;Bar, Eatery
18577;The Office Beer Bar & Grill;Cranford;US;Bar, Eatery
41905;Egghead Brewery;Stroud;GB;Brewery
44530;Stop Time;Brooklyn;US;Bar
34384;All In Brewing;Göteborg;SE;Brewery
30224;Momma Goldberg's Deli;Baton Rouge;US;Eatery
40960;Ferguson's Bottles & Taps;Whitsett;US;Bar, Beer-to-go
50893;Wedge at Foundation;Asheville;US;Brewery, Bar
36387;Victory Art Brew;Moskovskaya oblast;RU;Brewery
41466;8one8 Brewing (818);Canoga Park;US;Brewery, Beer-to-go
19754;Brew Urban Cafe;Fort Lauderdale;US;Bar
16931;Timor Bodega;Washington;US;Store
24037;House Wine;Worthington;US;Store
41151;The Prior Sports Bar & Restaurant;Arnprior;CA;Bar, Eatery
13740;Bull And Butcher, The;Henley on Thames;GB;Bar, Eatery
17696;Bar Louie;Fort Myers;US;Bar, Eatery
37531;Clyde's on Main;Chattanooga;US;Bar, Eatery
29229;Drankenreus.nl;Duivendrecht;NL;Store
47829;Total Wine & More;Everett;US;Store
34733;Bigelow Brewing Company;Skowhegan;US;Brewery, Bar, Beer-to-go
31719;Lakeside Bar & Grill;Peoria;US;Bar, Eatery
41058;Jungle Juice Brewing;Roma;IT;Brewery
36783;Tractor Brewing Co. - Wells Park;Albuquerque;US;Brewery, Bar, Beer-to-go
47306;Kowalski's Market & Wine Shop;Woodbury;US;Store
7746;Twin Liquors;Austin;US;Store
40392;Brix City Brewing;Little Ferry;US;Brewery, Bar, Beer-to-go
39784;Osterbrau;Geofizika;UZ;Brewery
24133;Luckie Ales;Moulin;GB;Brewery
40720;Navarro General Store & Deli;Navarro;US;Eatery, Beer-to-go
43423;Marty's Market;Pittsburgh;US;Eatery, Beer-to-go
4583;Cold Beer & Cheeseburgers;Troy;US;Bar, Eatery
24814;Yellowhammer Brewing;Huntsville;US;Brewery, Bar
30380;The Lone Pint Brewery;Magnolia;US;Brewery, Bar
5123;Raging River Saloon;Fall City;US;Bar, Eatery
12643;Wine World Beer & Spirits;Abingdon;US;Store
50362;Cave Spring Tap House;Roanoke;US;Bar, Eatery
47026;Sid's Discount Liquor;Bloomington;US;Store
19302;Pitia Beer Pub;Bogota;CO;Brewery, Bar, Eatery
52263;Vicious Fishes Brewery;Angier;US;Brewery, Bar, Beer-to-go
9211;Doshisha Corporation;Osaka-fu Osaka-shi;JP;Brewery
7965;Old Timer Restaurant;Clinton;US;Bar
28836;Home Brew Stuff;Garden City;US;Homebrew, Beer-to-go
33954;Rosati's Pizza;Woodstock;US;Bar, Eatery
18848;Ferme Brasserie Garland;Algans;FR;Brewery
48511;Pint and Plow Brewing Co;Kerrville;US;Brewery, Bar, Eatery
17203;Hofbrau Beerhall Miami;Miami Beach;US;Bar, Eatery
24692;Mellow Mushroom (Brookhaven);Atlanta;US;Bar, Eatery, Beer-to-go
3045;C.K. Browar;Kraków;PL;Brewery, Bar, Eatery
28724;Lewis Beer Company;Temecula;US;Brewery
25329;Třebonický Rukodělný Pivovárek;Praha;CZ;Brewery, Beer-to-go
33078;Brauhaus Alter Elbehof;Torgau;DE;Brewery, Bar, Eatery
17687;Meehan's Public House (Sandy Springs);Atlanta;US;Bar, Eatery
30278;New Ulm Brewing & Beverage Company;Sleepy Eye;US;Brewery
48446;Cho's;Charlottesville;US;Bar, Eatery
8847;Neshaminy Beer & Soda;Bensalem;US;Store
35262;Main Street Deli and Catering;Somerset;US;Eatery, Beer-to-go
18049;Landhaus - Krähennest;Löf - Mosel;DE;Bar, Eatery, Beer-to-go
8352;Le Bon Marché;Paris;FR;Store
19679;The Coffee Grounds;Chippewa Falls;US;Store
27133;Raw Microbrewery;Chesterfield;GB;Brewery
23726;The Malt Shovel;Edinburgh;GB;Bar
37936;Milano’s Ristorante & Bar;Winchester;US;Bar, Eatery
39369;The Cross Keys;Swindon;GB;Bar, Eatery
23135;Michael's Market & Bistro;Moses Lake;US;Eatery, Beer-to-go
31538;Flatwater Restaurant;Indianapolis;US;Bar, Eatery
46545;Bobtown Brewhouse & Grill;Roberts;US;Brewery, Bar, Eatery
26621;Les 3 Brasseurs;Montreal;CA;Brewery, Bar, Eatery
22642;Gas Station Kitchen + Bar;Hummelstown;US;Bar, Eatery
21440;Consumer's Beverage Center;Hamburg;US;Store
52656;Effing Brew Company;Effingham;US;Brewery, Bar, Eatery
13782;Marshall's Wine & Liquor;Englewood;US;Store
24350;Sticks & Stones;Philadelphia;US;Bar, Eatery
31196;Tony's Package Store;Haddam;US;Store
16134;Gary's Liquor Agency;Wooster;US;Store
15324;Five Seasons North;Alpharetta;US;Brewery, Bar, Eatery
53059;Giant Jones Brewing Company;Madison;US;Brewery, Bar, Beer-to-go
37156;Brewsmith Beer;Bury;GB;Brewery
42063;Growler Room - South;Austin;US;Store
1948;DuClaw Brewing Company;Hanover;US;Bar, Eatery, Beer-to-go
45410;BeeRock;Glyfáda;GR;Bar, Eatery
14703;One Stop Beverage Mart;Bluefield;US;Store
31543;Westside Wines;Kailua Kona;US;Store
32066;Pacific Breach;Pearl City;US;Brewery
52414;Travelers Rest Craft Beer Station / BP;Travelers Rest;US;Store
31293;Überbrew;Billings;US;Brewery, Bar, Eatery, Beer-to-go
52032;Little Leeds Beer House;Leeds;GB;Bar, Beer-to-go
29495;The White Horse;Austin;US;Bar
29109;Van Houzen Brewing Company;Newton;US;Brewery
52854;Greenport Harbor Brewery;Peconic;US;Brewery, Bar, Eatery, Beer-to-go
47775;Aman's Beer + Wine;Wind Lake;US;Store
21599;Roland's;Chesapeake Beach;US;Store
